YYMMMDD,u0(m),____up(m),sig_u(m)
1-Apr-09,783,0.029504,0.002371
1-Apr-10,783,0.031558,0.002493
1-Apr-11,783,0.038513,0.002532
1-Apr-12,783,0.031361,0.002413
1-Apr-13,783,0.04052,0.002661
1-Apr-14,783,0.029239,0.002511
1-Apr-15,783,0.03041,0.002617
1-Apr-16,783,0.043256,0.002652
1-Apr-17,783,0.052432,0.002508
1-Apr-18,783,0.037933,0.002472
1-Apr-19,783,0.042217,0.002361
1-Apr-20,783,0.037877,0.002459
1-Apr-21,783,0.03771,0.002402
1-Apr-22,783,0.022131,0.002692
1-Apr-23,783,0.023369,0.002442
1-Apr-24,783,0.023892,0.002457
1-Apr-25,783,0.02444,0.00252
1-Apr-26,783,0.024304,0.002418
1-Apr-27,783,0.031195,0.002512
1-Apr-28,783,0.020969,0.00247
1-Apr-29,783,0.02329,0.002388
1-Apr-30,783,0.02852,0.002483
1-May-01,783,0.029008,0.00252
1-May-02,783,0.034344,0.00247
1-May-03,783,0.023164,0.002356
1-May-04,783,0.032659,0.002349
1-May-05,783,0.033726,0.002385
1-May-06,783,0.039874,0.002391
1-May-07,783,0.033821,0.002452
1-May-08,783,0.027988,0.002495
1-May-09,783,0.027923,0.002353
1-May-10,783,0.035772,0.002502
1-May-11,783,0.039086,0.002491
1-May-12,783,0.005539,0.002462
1-May-13,783,0.030728,0.002474
1-May-14,783,0.035876,0.002412
1-May-15,783,0.033009,0.002414
1-May-16,783,0.019747,0.002584
1-May-17,783,0.037867,0.00255
1-May-18,783,0.032046,0.002408
1-May-19,783,0.028494,0.002404
1-May-20,783,0.035953,0.002423
1-May-21,783,0.028987,0.002347
1-May-22,783,0.033182,0.00233
1-May-23,783,0.031526,0.002359
1-May-24,783,0.02273,0.002398
1-May-25,783,0.030792,0.002417
1-May-26,783,0.032015,0.002314
1-May-27,783,0.029848,0.002429
1-May-28,783,0.02853,0.002289
1-May-29,783,0.025599,0.002283
1-May-30,783,0.025324,0.002357
1-May-31,783,0.034647,0.002402
1-Jun-01,783,0.038746,0.00242
1-Jun-02,783,0.03216,0.00246
1-Jun-03,783,0.02306,0.002327
1-Jun-04,783,0.024298,0.00244
1-Jun-05,783,0.020237,0.002495
1-Jun-06,783,0.015608,0.002489
1-Jun-07,783,0.019471,0.002534
1-Jun-08,783,0.026319,0.002498
1-Jun-09,783,0.027812,0.002392
1-Jun-10,783,0.015523,0.002466
1-Jun-11,783,0.030001,0.00238
1-Jun-12,783,0.019382,0.00245
1-Jun-13,783,0.023683,0.002539
1-Jun-14,783,0.033334,0.002402
1-Jun-15,783,0.032421,0.002467
1-Jun-16,783,0.024175,0.002325
1-Jun-17,783,0.022234,0.002416
1-Jun-18,783,0.014445,0.002567
1-Jun-19,783,0.012283,0.002368
1-Jun-20,783,0.024224,0.00245
1-Jun-21,783,0.031793,0.002447
1-Jun-22,783,0.035864,0.002318
1-Jun-23,783,0.025981,0.002402
1-Jun-24,783,0.017995,0.002428
1-Jun-25,783,0.032685,0.002342
1-Jun-26,783,0.026894,0.002374
1-Jun-27,783,0.032311,0.002541
1-Jun-28,783,0.040801,0.002352
1-Jun-29,783,0.01952,0.002398
1-Jun-30,783,0.027254,0.002449
1-Jul-01,783,0.021489,0.002462
1-Jul-02,783,0.027506,0.002424
1-Jul-03,783,0.031394,0.002413
1-Jul-04,783,0.025147,0.002353
1-Jul-05,783,0.028796,0.00236
1-Jul-06,783,0.016506,0.00232
1-Jul-07,783,0.020491,0.002498
1-Jul-08,783,0.029434,0.002439
1-Jul-09,783,0.031793,0.002318
1-Jul-10,783,0.039625,0.002568
1-Jul-11,783,0.024429,0.002385
