YYMMMDD,u0(m),____up(m),sig_u(m)
1-Aug-29,990,0.229332,0.002932
1-Aug-30,990,0.246496,0.002688
1-Aug-31,990,0.238607,0.002688
1-Sep-01,990,0.240969,0.002574
1-Sep-02,990,0.247153,0.00275
1-Sep-03,990,0.256896,0.002584
1-Sep-04,990,0.251157,0.002759
1-Sep-05,990,0.238638,0.003082
1-Sep-06,990,0.246004,0.002633
1-Sep-07,990,0.256643,0.002562
1-Sep-08,990,0.244271,0.002654
1-Sep-09,990,0.247761,0.002743
1-Sep-10,990,0.250976,0.002581
1-Sep-11,990,0.247417,0.002831
1-Sep-12,990,0.247241,0.002729
1-Sep-13,990,0.248408,0.002523
1-Sep-14,990,0.245214,0.002501
1-Sep-15,990,0.243956,0.002519
1-Sep-16,990,0.244234,0.002644
1-Sep-17,990,0.24302,0.002584
1-Sep-18,990,0.246547,0.002612
1-Sep-19,990,0.242852,0.002579
1-Sep-20,990,0.234547,0.002612
1-Sep-21,990,0.251249,0.002692
1-Sep-22,990,0.227976,0.002449
1-Sep-23,990,0.239662,0.002734
1-Sep-24,990,0.244187,0.002536
1-Sep-25,990,0.243558,0.002578
1-Sep-26,990,0.226718,0.00259
1-Sep-27,990,0.252722,0.002721
1-Sep-28,990,0.252666,0.00262
1-Sep-29,990,0.232304,0.002635
1-Sep-30,990,0.244417,0.002427
1-Oct-01,990,0.225792,0.002697
1-Oct-02,990,0.262649,0.002443
1-Oct-03,990,0.233054,0.002861
1-Oct-04,990,0.229441,0.002599
1-Oct-05,990,0.249845,0.002521
1-Oct-06,990,0.233596,0.002597
1-Oct-07,990,0.238256,0.002577
1-Oct-08,990,0.246209,0.002433
1-Oct-09,990,0.231875,0.002477
1-Oct-10,990,0.234261,0.002459
1-Oct-11,990,0.226807,0.002423
1-Oct-12,990,0.250214,0.002425
1-Oct-13,990,0.240699,0.002579
1-Oct-14,990,0.246674,0.00246
1-Oct-15,990,0.245221,0.002436
1-Oct-16,990,0.247174,0.002475
1-Oct-17,990,0.23915,0.002622
1-Oct-18,990,0.239107,0.002395
1-Oct-19,990,0.244828,0.002693
1-Oct-20,990,0.242259,0.002437
1-Oct-21,990,0.247994,0.002378
1-Oct-22,990,0.242515,0.0024
1-Oct-23,990,0.236068,0.002463
1-Oct-24,990,0.243273,0.002543
1-Oct-25,990,0.237408,0.002605
1-Oct-26,990,0.266421,0.002482
1-Oct-27,990,0.248366,0.002511
1-Oct-28,990,0.252436,0.002747
1-Oct-29,990,0.23029,0.002489
1-Oct-30,990,0.232466,0.002419
1-Oct-31,990,0.229949,0.002406
1-Nov-01,990,0.229662,0.002363
1-Nov-02,990,0.229633,0.002548
1-Nov-03,990,0.213278,0.002555
1-Nov-04,990,0.235368,0.00251
1-Nov-05,990,0.234376,0.002472
1-Nov-06,990,0.236051,0.002686
1-Nov-07,990,0.256517,0.002586
1-Nov-08,990,0.236448,0.002702
1-Nov-09,990,0.236844,0.002594
1-Nov-10,990,0.228825,0.002466
1-Nov-11,990,0.241804,0.00251
1-Nov-12,990,0.23099,0.002496
1-Nov-13,990,0.227713,0.002774
1-Nov-14,990,0.217838,0.002544
1-Nov-15,990,0.236116,0.00254
1-Nov-16,990,0.237789,0.002596
1-Nov-17,990,0.228298,0.002496
1-Nov-18,990,0.227038,0.002541
1-Nov-19,990,0.230324,0.0025
1-Nov-20,990,0.235252,0.002562
1-Nov-21,990,0.233543,0.00258
1-Nov-22,990,0.239616,0.002529
1-Nov-23,990,0.239285,0.002595
1-Nov-24,990,0.242688,0.002747
1-Nov-25,990,0.230101,0.00262
1-Nov-26,990,0.239069,0.002573
1-Dec-01,990,0.224429,0.002458
1-Dec-02,990,0.236079,0.002537
1-Dec-05,990,0.229303,0.003844
