"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-13",,,"0.5","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-14",,,"9.7","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-15",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-16",,,"5.1","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-17",,,"0.5","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-18",,,"2.3","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-19",,,"3.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-20",,,"2.5","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-21",,,"11.4","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-22",,,"18.3","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-23",,,"0.5","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-24",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-25",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-26",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-27",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-28",,,"10.2","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-29",,,"0.3","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-30",,,"5.3","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-01-31",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-01",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-02",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-03",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-04",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-05",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-06",,,"0.8","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-07",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-08",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-09",,,"13.2","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-10",,,"20.1","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-11",,,"20.3","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-12",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-13",,,"2.5","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-14",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-15",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-16",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-17",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-18",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-19",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-20",,,"9.1","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-21",,,"2.3","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-22",,,"6.6","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-23",,,"1.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-24",,,"7.1","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-25",,,"1.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-26",,,"0.0","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-27",,,"2.3","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-02-28",,,"0.5","0.0","0.0"
"USC00511300","HAWAII BEACHES 91.12, HI US","1993-03-01",,,"0.0","0.0","0.0"
